company_id,company_name,country_iso3,segment,revenue_usd_bn,operating_margin_pct,operating_income_usd_bn,rd_spend_usd_bn,pipeline_size_est
1,Abbott Laboratories,USA,diversified_pharma,43.16,18.2,7.84,5.18,66
2,AbbVie,USA,big_pharma,56.25,25.3,14.24,10.13,108
3,Amgen,USA,biotech,34.06,33.9,11.55,8.52,25
4,AstraZeneca,GBR,big_pharma,58.57,26.9,15.75,10.54,110
5,Bayer,DEU,diversified_pharma,48.11,4.5,2.17,5.77,69
6,Biogen,USA,biotech,9.79,31.8,3.12,2.45,17
7,BioNTech,DEU,biotech,3.4,-12.7,-0.43,0.85,13
8,Boehringer Ingelheim,DEU,big_pharma,29.89,33.8,10.1,5.38,89
9,Bristol-Myers Squibb,USA,big_pharma,51.43,29.9,15.38,9.26,105
10,Daiichi Sankyo,JPN,big_pharma,16.8,27,4.53,3.02,75
11,Danaher,USA,diagnostics,25.23,18.9,4.76,2.52,9
12,Eli Lilly,USA,big_pharma,59.78,36.4,21.78,10.76,110
13,Gilead,USA,biotech,30.35,32.6,9.88,7.59,25
14,GSK,GBR,big_pharma,32.68,26.3,8.61,5.88,92
15,Hengrui Medicine,CHN,big_pharma,4.11,31.3,1.29,0.74,49
16,Johnson & Johnson,USA,diversified_pharma,98,20.8,20.36,11.76,85
17,Medtronic,USA,medical_devices,34.44,20.2,6.95,2.76,15
18,Merck,USA,big_pharma,69,29.2,20.12,12.42,115
19,Moderna,USA,biotech,4.44,-5.5,-0.25,1.11,14
20,Novartis,CHE,big_pharma,53.15,27.3,14.53,9.57,106
21,Novo Nordisk,DNK,big_pharma,49.33,35.9,17.7,8.88,104
22,Pfizer,USA,big_pharma,65.69,17.4,11.42,11.82,113
23,Regeneron,USA,biotech,14.92,26.2,3.91,3.73,20
24,Roche,CHE,big_pharma,68.31,25.3,17.27,12.3,115
25,Sanofi,FRA,big_pharma,41.43,27.1,11.24,7.46,99
26,Stryker,USA,medical_devices,24.45,22.7,5.54,1.96,14
27,Sun Pharma,IND,generics,7.69,16.1,1.24,0.46,19
28,Takeda,JPN,big_pharma,32.35,30.7,9.93,5.82,92
29,Teva,ISR,generics,17.4,10.4,1.81,1.04,25
30,Vertex,USA,biotech,12.34,26.7,3.29,3.08,19
